player_id,name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_23_xp,gw_23_prob_of_appearing,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
19,Saka,1,ARS,3,MID,9.1,6.5,5.7,120,100.0,Available,61.1,17985,31721,5.7912,0.94124,5.74168,0.94124,5.80063,0.94124,6.30493,0.94124,6.05613,0.94124,6.0523,0.94124,5.91393,0.94124,5.10415,0.94124,5.86461,0.94124,5.67986,0.94124,5.752,0.94124,5.7501,0.94124,5.68126,0.94124,6.43994,0.94124,5.77138,0.94124,6.26076,0.94124
20,Saliba,1,ARS,2,DEF,5.6,4.0,3.8,83,100.0,Available,37.3,5626,28134,3.19974,0.94114,3.38571,0.94114,4.28579,0.94114,3.89923,0.94114,3.70033,0.94114,4.07874,0.94114,3.44165,0.94114,2.79346,0.94114,4.56098,0.94114,3.33394,0.94114,3.77677,0.94114,4.07558,0.94114,3.21698,0.94114,4.1593,0.94114,3.40303,0.94114,4.32754,0.94114
22,Smith Rowe,1,ARS,3,MID,5.3,2.0,1.9,15,100.0,Available,0.1,124,29,2.32424,0.71203,2.36368,0.71203,2.40905,0.71203,2.59827,0.71203,2.50807,0.71203,2.50677,0.71203,2.45984,0.71203,2.18522,0.71203,2.44311,0.71203,2.38046,0.71203,2.40492,0.71203,2.40428,0.71203,2.38094,0.71203,2.63823,0.71203,2.4115,0.71203,2.57746,0.71203
24,Tierney,1,ARS,2,DEF,4.4,0.0,0.0,0,0.0,Unavailable,0.1,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tomiyasu,1,ARS,2,DEF,4.5,0.0,3.0,39,0.0,Injured,0.3,18,176,1.64979,0.0,1.74761,0.33676,2.25474,0.86689,2.03663,0.88504,1.92224,0.88504,2.13171,0.88504,1.77905,0.88504,1.42024,0.88504,2.39865,0.88504,1.71942,0.88504,1.96455,0.88504,2.12996,0.88504,1.65468,0.88504,2.1763,0.88504,1.75767,0.88504,2.26943,0.88504
26,Trossard,1,ARS,3,MID,6.5,4.5,3.1,56,100.0,Available,1.7,505,1473,3.53107,0.93525,3.50355,0.93525,3.56824,0.93525,3.82211,0.93525,3.73798,0.93525,3.73587,0.93525,3.65955,0.93525,3.2129,0.93525,3.63235,0.93525,3.53044,0.93525,3.57023,0.93525,3.56919,0.93525,3.53122,0.93525,3.94968,0.93525,3.58092,0.93525,3.85085,0.93525
29,White,1,ARS,2,DEF,5.6,4.0,3.7,77,100.0,Available,10.9,1184,10749,3.24862,0.92896,3.41234,0.92896,4.32887,0.92896,3.91936,0.92896,3.71098,0.92896,4.10021,0.92896,3.44492,0.92896,2.77821,0.92896,4.59623,0.92896,3.33413,0.92896,3.78962,0.92896,4.09696,0.92896,3.21383,0.92896,4.18307,0.92896,3.40519,0.92896,4.35611,0.92896
30,Xhaka,1,ARS,3,MID,6.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Zinchenko,1,ARS,2,DEF,5.2,6.5,4.2,84,100.0,Available,10.6,16700,4726,3.65686,0.85278,3.7538,0.85278,4.66248,0.85278,4.14731,0.85278,3.85085,0.85278,4.27988,0.85278,3.55758,0.85278,2.82269,0.85278,4.82662,0.85278,3.43546,0.85278,3.93752,0.85278,4.2763,0.85278,3.30286,0.85278,4.37121,0.85278,3.51379,0.85278,4.56195,0.85278
113,Raya,1,ARS,1,GKP,4.9,5.0,3.8,65,100.0,Available,6.4,2057,5647,3.66111,0.9492,3.56348,0.9492,3.93035,0.9492,3.65101,0.9492,3.85468,0.9492,3.69371,0.9492,3.95127,0.9492,3.29754,0.9492,3.82882,0.9492,3.96224,0.9492,3.83405,0.9492,3.99947,0.9492,3.83253,0.9492,3.87458,0.9492,4.01759,0.9492,4.05877,0.9492
540,Rice,1,ARS,3,MID,5.4,4.0,3.5,77,100.0,Available,4.8,1980,4055,3.75117,0.94097,3.75578,0.94097,3.79294,0.94097,4.07231,0.94097,3.97187,0.94097,3.96991,0.94097,3.89908,0.94097,3.48462,0.94097,3.87384,0.94097,3.77928,0.94097,3.8162,0.94097,3.81523,0.94097,3.78,0.94097,4.16831,0.94097,3.82612,0.94097,4.0766,0.94097
578,Nelson,1,ARS,3,MID,4.8,0.0,0.9,8,100.0,Available,0.0,16,17,1.36391,0.39935,1.39455,0.39935,1.42484,0.39935,1.49375,0.39935,1.46062,0.39935,1.46008,0.39935,1.44073,0.39935,1.32749,0.39935,1.43384,0.39935,1.408,0.39935,1.41809,0.39935,1.41782,0.39935,1.4082,0.39935,1.51429,0.39935,1.4208,0.39935,1.48924,0.39935
585,J.Timber,1,ARS,2,DEF,4.6,0.0,0.0,0,0.0,Injured,0.4,17,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,Hein,1,ARS,1,GKP,4.0,0.0,0.0,0,,Available,0.1,12,15,2.91154,0.002,2.84458,0.002,3.0962,0.002,2.90462,0.002,3.0443,0.002,2.9339,0.002,3.11055,0.002,2.66219,0.002,3.02657,0.002,3.11807,0.002,3.03016,0.002,3.14361,0.002,3.02911,0.002,3.05795,0.002,3.15603,0.002,3.18427,0.002
735,Sagoe,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,12,6,1.31798,0.01076,1.31393,0.01076,1.32245,0.01076,1.38365,0.01076,1.35422,0.01076,1.35375,0.01076,1.33656,0.01076,1.23599,0.01076,1.33044,0.01076,1.30749,0.01076,1.31645,0.01076,1.31622,0.01076,1.30767,0.01076,1.40189,0.01076,1.31886,0.01076,1.37964,0.01076
736,Walters,1,ARS,2,DEF,4.0,0.0,0.0,0,,Available,0.0,35,31,1.4074,0.01125,1.46491,0.01125,1.86985,0.01125,1.68473,0.01125,1.58763,0.01125,1.76542,0.01125,1.46609,0.01125,1.16154,0.01125,1.992,0.01125,1.41548,0.01125,1.62354,0.01125,1.76394,0.01125,1.36053,0.01125,1.80327,0.01125,1.44794,0.01125,1.88232,0.01125
737,Ibrahim,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,6,9,1.31798,0.01076,1.31393,0.01076,1.32245,0.01076,1.38365,0.01076,1.35422,0.01076,1.35375,0.01076,1.33656,0.01076,1.23599,0.01076,1.33044,0.01076,1.30749,0.01076,1.31645,0.01076,1.31622,0.01076,1.30767,0.01076,1.40189,0.01076,1.31886,0.01076,1.37964,0.01076
764,Lewis-Skelly,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,1,1,1.38253,0.04092,1.37833,0.04092,1.38715,0.04092,1.4505,0.04092,1.42004,0.04092,1.41955,0.04092,1.40176,0.04092,1.29764,0.04092,1.39542,0.04092,1.37167,0.04092,1.38094,0.04092,1.3807,0.04092,1.37185,0.04092,1.46939,0.04092,1.38343,0.04092,1.44635,0.04092
772,Nwaneri,1,ARS,3,MID,4.5,0.0,0.0,0,,Available,0.0,1,2,1.40927,0.07245,1.40501,0.07245,1.41396,0.07245,1.4782,0.07245,1.44731,0.07245,1.44681,0.07245,1.42877,0.07245,1.32319,0.07245,1.42234,0.07245,1.39825,0.07245,1.40766,0.07245,1.40741,0.07245,1.39843,0.07245,1.49736,0.07245,1.41018,0.07245,1.47399,0.07245
32,Alex Moreno,2,AVL,2,DEF,5.1,3.0,2.3,21,100.0,Available,1.5,2408,3248,2.44808,0.90558,2.72121,0.90558,2.73675,0.90558,3.13783,0.90558,2.59546,0.90558,2.65552,0.90558,2.54048,0.90558,3.05613,0.90558,2.0557,0.90558,3.02069,0.90558,2.19852,0.90558,3.08118,0.90558,2.54236,0.90558,2.46149,0.90558,2.44858,0.90558,3.00743,0.90558
34,Bailey,2,AVL,3,MID,5.7,3.5,4.0,81,100.0,Available,3.6,4114,7693,3.00347,0.93956,3.10144,0.93956,2.98926,0.93956,3.25541,0.93956,3.10571,0.93956,3.05894,0.93956,3.00376,0.93956,3.16778,0.93956,2.72002,0.93956,3.14872,0.93956,2.82833,0.93956,3.32399,0.93956,3.08616,0.93956,2.98033,0.93956,3.01852,0.93956,2.9481,0.93956
35,Buendia,2,AVL,3,MID,5.7,0.0,0.0,0,0.0,Injured,0.0,5,6,2.67149,0.01,2.70947,0.78061,2.57642,0.87569,2.76977,0.89444,2.63384,0.89444,2.59449,0.90272,2.54806,0.90272,2.68606,0.90272,2.30932,0.90272,2.67003,0.90272,2.40045,0.90272,2.8175,0.90272,2.61739,0.90272,2.52834,0.90272,2.56048,0.90272,2.50122,0.90272
36,Cash,2,AVL,2,DEF,4.7,1.0,2.7,52,100.0,Available,16.3,5301,13359,2.98718,0.72387,3.27072,0.72387,3.25024,0.72387,3.74522,0.72387,3.00677,0.72387,3.08262,0.72387,2.93735,0.72387,3.5885,0.72387,2.32517,0.72387,3.54375,0.72387,2.50552,0.72387,3.62013,0.72387,2.93973,0.72387,2.8376,0.72387,2.82129,0.72387,3.527,0.72387
37,Chambers,2,AVL,2,DEF,3.8,0.0,0.0,0,,Available,0.9,2203,431,1.48243,0.00167,1.59242,0.00167,1.55654,0.00167,1.76798,0.00167,1.39693,0.00167,1.43332,0.00167,1.36361,0.00167,1.67605,0.00167,1.06988,0.00167,1.65458,0.00167,1.15641,0.00167,1.69122,0.00167,1.36476,0.00167,1.31575,0.00167,1.30793,0.00167,1.64654,0.00167
38,Coutinho,2,AVL,3,MID,5.8,0.0,1.0,2,0.0,Unavailable,0.2,0,10,2.55815,0.0,2.63649,0.0,2.59192,0.0,2.72911,0.0,2.43827,0.0,2.55539,0.0,2.44274,0.0,2.57464,0.0,2.23466,0.0,2.6307,0.0,2.33809,0.0,2.77631,0.0,2.48413,0.0,2.47372,0.0,2.48548,0.0,2.45695,0.0
39,Davis,2,AVL,4,FWD,4.9,0.0,0.0,0,0.0,Unavailable,0.1,0,15,2.24149,0.0,2.20328,0.0,2.35799,0.0,2.52396,0.0,1.97207,0.0,2.06529,0.0,2.09748,0.0,2.22231,0.0,1.92503,0.0,2.04951,0.0,2.01794,0.0,2.2254,0.0,2.05291,0.0,2.05484,0.0,2.23481,0.0,2.08475,0.0
40,Dendoncker,2,AVL,3,MID,4.9,0.0,2.5,20,0.0,Unavailable,0.0,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Diego Carlos,2,AVL,2,DEF,4.4,2.5,2.1,31,100.0,Available,0.7,344,1242,2.37391,0.67685,2.56816,0.67685,2.55767,0.67685,2.86474,0.67685,2.35186,0.67685,2.40216,0.67685,2.30582,0.67685,2.73767,0.67685,1.89981,0.67685,2.70799,0.67685,2.01942,0.67685,2.75865,0.67685,2.3074,0.67685,2.23967,0.67685,2.22885,0.67685,2.69688,0.67685
42,Digne,2,AVL,2,DEF,4.6,0.0,3.1,56,50.0,Doubtful,2.8,154,5107,2.83336,0.30917,3.06128,0.63828,2.99668,0.82499,3.37741,0.87942,2.70928,0.90027,2.7748,0.90027,2.64929,0.90027,3.21188,0.90027,2.12039,0.90027,3.17321,0.90027,2.2762,0.90027,3.2392,0.90027,2.65135,0.90027,2.56312,0.90027,2.54902,0.90027,3.15874,0.90027
43,Douglas Luiz,2,AVL,3,MID,5.6,2.0,4.7,98,100.0,Available,9.5,6544,22553,4.73485,0.93677,4.83216,0.93677,4.56149,0.93677,5.00506,0.93677,4.76861,0.93677,4.69163,0.93677,4.60082,0.93677,4.87077,0.93677,4.1338,0.93677,4.83941,0.93677,4.31206,0.93677,5.12789,0.93677,4.73643,0.93677,4.56224,0.93677,4.62511,0.93677,4.50919,0.93677
44,Duran,2,AVL,4,FWD,5.0,0.5,1.7,24,0.0,Injured,0.2,7,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hause,2,AVL,2,DEF,3.9,0.0,0.0,0,,Available,0.2,37,92,1.46981,4e-05,1.5798,4e-05,1.54392,4e-05,1.75536,4e-05,1.38431,4e-05,1.4207,4e-05,1.351,4e-05,1.66344,4e-05,1.05726,4e-05,1.64196,4e-05,1.1438,4e-05,1.67861,4e-05,1.35214,4e-05,1.30314,4e-05,1.29531,4e-05,1.63392,4e-05
46,Iroegbunam,2,AVL,3,MID,4.4,0.0,1.0,1,100.0,Available,0.0,16,14,1.12299,0.10736,1.15416,0.10736,1.11784,0.10736,1.17063,0.10736,1.13351,0.10736,1.12277,0.10736,1.11009,0.10736,1.14777,0.10736,1.04491,0.10736,1.1434,0.10736,1.06979,0.10736,1.18366,0.10736,1.12902,0.10736,1.10471,0.10736,1.11348,0.10736,1.0973,0.10736
47,Kamara,2,AVL,3,MID,5.0,2.0,1.9,35,100.0,Available,0.1,122,56,2.57028,0.91684,2.64893,0.91684,2.57337,0.91684,2.79211,0.91684,2.6997,0.91684,2.66422,0.91684,2.62237,0.91684,2.7468,0.91684,2.4071,0.91684,2.73234,0.91684,2.48927,0.91684,2.86531,0.91684,2.68488,0.91684,2.60458,0.91684,2.63356,0.91684,2.58013,0.91684
48,Konsa,2,AVL,2,DEF,4.6,3.5,2.6,58,,Available,3.3,4621,2877,3.1228,0.94123,3.44151,0.94123,3.4629,0.94123,3.9425,0.94123,3.26175,0.94123,3.33277,0.94123,3.19674,0.94123,3.80648,0.94123,2.62349,0.94123,3.76458,0.94123,2.79237,0.94123,3.8361,0.94123,3.19897,0.94123,3.10334,0.94123,3.08806,0.94123,3.74889,0.94123
49,Martinez,2,AVL,1,GKP,5.2,5.5,3.4,72,100.0,Available,12.3,7227,5634,3.74637,0.94941,3.93328,0.94941,3.69331,0.94941,3.9991,0.94941,3.77188,0.94941,3.60661,0.94941,3.4679,0.94941,3.65612,0.94941,3.2136,0.94941,3.59243,0.94941,3.65633,0.94941,3.7654,0.94941,3.83873,0.94941,3.84922,0.94941,3.56126,0.94941,3.75223,0.94941
50,McGinn,2,AVL,3,MID,5.5,2.0,3.7,82,100.0,Available,1.7,1608,5134,3.84318,0.94123,3.93771,0.94123,3.79905,0.94123,4.11062,0.94123,3.9314,0.94123,3.87438,0.94123,3.80711,0.94123,4.00707,0.94123,3.46118,0.94123,3.98384,0.94123,3.59323,0.94123,4.19753,0.94123,3.90757,0.94123,3.77854,0.94123,3.8251,0.94123,3.73924,0.94123
51,Mings,2,AVL,2,DEF,4.1,0.0,0.0,0,0.0,Injured,1.2,20,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Olsen,2,AVL,1,GKP,3.9,0.0,2.0,2,100.0,Available,0.6,70,109,3.00718,0.002,3.13752,0.002,2.97018,0.002,3.18342,0.002,3.02497,0.002,2.90972,0.002,2.81299,0.002,2.94425,0.002,2.63565,0.002,2.89983,0.002,2.94439,0.002,3.02045,0.002,3.07159,0.002,3.0789,0.002,2.87809,0.002,3.01126,0.002
54,Philogene,2,AVL,3,MID,4.5,0.0,1.0,1,0.0,Unavailable,0.1,0,6,1.31703,0.0,1.35034,0.0,1.34071,0.0,1.37977,0.0,1.29927,0.0,1.33413,0.0,1.30007,0.0,1.33065,0.0,1.2427,0.0,1.34988,0.0,1.26801,0.0,1.38441,0.0,1.31163,0.0,1.31351,0.0,1.312,0.0,1.30147,0.0
55,J.Ramsey,2,AVL,3,MID,5.9,0.5,1.6,18,100.0,Available,0.1,95,117,2.9372,0.81924,3.03061,0.81924,2.91174,0.81924,3.17768,0.81924,3.06415,0.81924,3.0188,0.81924,2.9653,0.81924,3.12434,0.81924,2.69018,0.81924,3.10586,0.81924,2.7952,0.81924,3.27581,0.81924,3.0452,0.81924,2.94258,0.81924,2.97961,0.81924,2.91133,0.81924
56,Sanson,2,AVL,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Sinisalo,2,AVL,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tielemans,2,AVL,3,MID,5.6,1.0,1.7,31,100.0,Available,0.4,78,57,2.36314,0.91472,2.43704,0.91472,2.37437,0.91472,2.57235,0.91472,2.4779,0.91472,2.44647,0.91472,2.4094,0.91472,2.51961,0.91472,2.21874,0.91472,2.5068,0.91472,2.29152,0.91472,2.62457,0.91472,2.46476,0.91472,2.39365,0.91472,2.41932,0.91472,2.37199,0.91472
59,Bertrand Traoré,2,AVL,3,MID,5.0,0.0,1.0,2,75.0,Doubtful,0.0,3,5,1.54329,0.10861,1.56021,0.18031,1.50094,0.20152,1.58708,0.21213,1.52652,0.21213,1.50899,0.21213,1.48831,0.21213,1.54979,0.21213,1.38196,0.21213,1.54264,0.21213,1.42256,0.21213,1.60834,0.21213,1.51919,0.21213,1.47953,0.21213,1.49384,0.21213,1.46744,0.21213
60,Watkins,2,AVL,4,FWD,8.8,4.0,5.8,128,100.0,Available,53.9,18770,48138,5.13138,0.94123,5.07543,0.94123,5.15489,0.94123,6.09387,0.94123,5.14686,0.94123,5.14957,0.94123,5.27556,0.94123,5.20059,0.94123,4.63828,0.94123,4.98239,0.94123,4.52374,0.94123,4.996,0.94123,4.91927,0.94123,5.05439,0.94123,5.1178,0.94123,4.73685,0.94123
61,Wesley,2,AVL,4,FWD,5.0,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,Pau,2,AVL,2,DEF,4.6,0.0,3.4,61,0.0,Injured,3.8,41,27733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
