ID,Name,Team,Pos,Price,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
11,Marquinhos,ARS,MID,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Martinelli,ARS,MID,7.7,4.30418,0.9411,4.05067,4.42396,0.9411,4.1634,4.79182,0.9411,4.50959,4.67007,0.9411,4.39501,4.64787,0.9411,4.37412,4.55083,0.9411,4.2828,3.98295,0.9411,3.74836,4.55645,0.9411,4.28809,4.35742,0.9411,4.10077,4.40642,0.9411,4.14689,4.481,0.9411,4.21708,4.38767,0.9411,4.12924,4.93577,0.9411,4.64506,4.45086,0.9411,4.18872,4.79406,0.9411,4.51169,0.0,0.0,0.0
13,Nketiah,ARS,FWD,5.2,2.7537,0.9156,2.52128,2.60799,0.9156,2.38787,2.97009,0.9156,2.71941,2.927,0.9156,2.67995,2.68213,0.9156,2.45575,2.64989,0.9156,2.42623,2.5064,0.9156,2.29485,3.1987,0.9156,2.92872,2.69365,0.9156,2.4663,2.7027,0.9156,2.47459,2.81894,0.9156,2.58101,2.84936,0.9156,2.60887,2.65344,0.9156,2.42949,2.62379,0.9156,2.40233,2.83752,0.9156,2.59802,0.0,0.0,0.0
14,Ødegaard,ARS,MID,8.5,5.30796,0.92371,4.90303,5.46311,0.92371,5.04634,5.92314,0.92371,5.47128,5.71726,0.92371,5.28111,5.6887,0.92371,5.25472,5.56383,0.92371,5.13939,4.83312,0.92371,4.46442,5.57107,0.92371,5.14607,5.31496,0.92371,4.9095,5.37802,0.92371,4.96774,5.47398,0.92371,5.05639,5.35389,0.92371,4.94545,6.05914,0.92371,5.5969,5.4352,0.92371,5.02057,5.8768,0.92371,5.42847,0.0,0.0,0.0
15,Thomas,ARS,MID,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pepe,ARS,MID,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ramsdale,ARS,GK,4.5,3.25755,0.06038,0.1967,3.54514,0.06038,0.21406,3.34044,0.06038,0.2017,3.50971,0.06038,0.21192,3.37608,0.06038,0.20385,3.59107,0.06038,0.21683,3.04539,0.06038,0.18389,3.46499,0.06038,0.20922,3.57347,0.06038,0.21577,3.47193,0.06038,0.20964,3.62446,0.06038,0.21885,3.49196,0.06038,0.21085,3.52555,0.06038,0.21288,3.64643,0.06038,0.22018,3.6808,0.06038,0.22225,0.0,0.0,0.0
18,Rúnarsson,ARS,GK,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Saka,ARS,MID,9.0,5.70171,0.94123,5.36662,5.80484,0.94123,5.4637,6.30493,0.94123,5.9344,6.08396,0.94123,5.72641,6.0523,0.94123,5.69662,5.91393,0.94123,5.56638,5.10415,0.94123,4.80419,5.92195,0.94123,5.57392,5.63813,0.94123,5.30678,5.70801,0.94123,5.37255,5.81435,0.94123,5.47265,5.68126,0.94123,5.34738,6.46283,0.94123,6.08302,5.77138,0.94123,5.4322,6.26076,0.94123,5.89282,0.0,0.0,0.0
20,Saliba,ARS,DEF,5.6,3.37902,0.94114,3.18013,4.27846,0.94114,4.02663,3.89923,0.94114,3.66972,3.69429,0.94114,3.47685,4.07874,0.94114,3.83867,3.44165,0.94114,3.23908,2.79346,0.94114,2.62903,4.47733,0.94114,4.2138,3.32557,0.94114,3.12983,3.77031,0.94114,3.54839,4.01047,0.94114,3.77441,3.21698,0.94114,3.02763,4.11718,0.94114,3.87485,3.40303,0.94114,3.20272,4.32754,0.94114,4.07282,0.0,0.0,0.0
21,Sambi,LUT,MID,4.9,2.41004,0.9228,2.22397,2.41659,0.9228,2.23002,0.0,0.0,0.0,2.29453,0.9228,2.11738,2.26953,0.9228,2.09431,2.48512,0.9228,2.29326,2.30225,0.9228,2.12451,2.20476,0.9228,2.03454,2.52796,0.9228,2.3328,2.13558,0.9228,1.9707,2.4094,0.9228,2.22339,2.34068,0.9228,2.15997,2.46961,0.9228,2.27894,2.30527,0.9228,2.12729,2.50499,0.9228,2.31159,4.55914,0.9228,4.20715
22,Smith Rowe,ARS,MID,5.3,2.35012,0.71203,1.67336,2.41048,0.71203,1.71634,2.59827,0.71203,1.85005,2.5175,0.71203,1.79255,2.50677,0.71203,1.7849,2.45984,0.71203,1.75149,2.18522,0.71203,1.55595,2.46256,0.71203,1.75342,2.36631,0.71203,1.68489,2.39001,0.71203,1.70176,2.42607,0.71203,1.72744,2.38094,0.71203,1.69531,2.64599,0.71203,1.88403,2.4115,0.71203,1.71707,2.57746,0.71203,1.83524,0.0,0.0,0.0
23,Tavares,NFO,DEF,4.0,1.54556,0.23892,0.36926,1.63598,0.23892,0.39087,1.32426,0.23892,0.31639,1.28995,0.23892,0.30819,1.29395,0.23892,0.30915,1.3784,0.23892,0.32933,1.78591,0.23892,0.42669,1.70405,0.23892,0.40713,1.24485,0.23892,0.29742,1.65581,0.23892,0.3956,1.38968,0.23892,0.33202,1.11029,0.23892,0.26527,1.46065,0.23892,0.34898,1.34643,0.23892,0.32169,1.73164,0.23892,0.41372,0.0,0.0,0.0
24,Tierney,ARS,DEF,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tomiyasu,ARS,DEF,4.5,1.7439,0.41199,0.71846,2.25069,0.86955,1.95708,2.03663,0.88504,1.8025,1.9189,0.88504,1.6983,2.13171,0.88504,1.88664,1.77905,0.88504,1.57452,1.42024,0.88504,1.25697,2.35234,0.88504,2.08191,1.71479,0.88504,1.51766,1.96097,0.88504,1.73554,2.09391,0.88504,1.85319,1.65468,0.88504,1.46445,2.15299,0.88504,1.90547,1.75767,0.88504,1.5556,2.26943,0.88504,2.00853,0.0,0.0,0.0
26,Trossard,ARS,MID,6.5,3.4815,0.93525,3.25607,3.57056,0.93525,3.33936,3.82211,0.93525,3.57463,3.75333,0.93525,3.5103,3.73587,0.93525,3.49397,3.65955,0.93525,3.42259,3.2129,0.93525,3.00486,3.66397,0.93525,3.42672,3.50743,0.93525,3.28032,3.54597,0.93525,3.31636,3.60463,0.93525,3.37122,3.53122,0.93525,3.30257,3.96231,0.93525,3.70574,3.58092,0.93525,3.34905,3.85085,0.93525,3.6015,0.0,0.0,0.0
27,Trusty,SHU,DEF,3.9,2.08708,0.93465,1.95069,2.14107,0.93465,2.00115,2.466,0.93465,2.30485,2.27002,0.93465,2.12167,2.48777,0.93465,2.32519,2.20053,0.93465,2.05672,2.65586,0.93465,2.4823,1.75144,0.93465,1.63698,2.22173,0.93465,2.07653,2.32268,0.93465,2.17089,2.77863,0.93465,2.59704,1.95696,0.93465,1.82907,2.70821,0.93465,2.53123,2.27423,0.93465,2.12561,2.33113,0.93465,2.17879,0.0,0.0,0.0
28,Turner,NFO,GK,3.9,3.24023,0.94851,3.0734,3.65626,0.94851,3.468,3.24725,0.94851,3.08006,3.24791,0.94851,3.08069,3.45275,0.94851,3.27497,3.41557,0.94851,3.23971,3.56862,0.94851,3.38488,3.75065,0.94851,3.55754,3.37841,0.94851,3.20446,3.32343,0.94851,3.15231,3.61696,0.94851,3.43073,3.3882,0.94851,3.21375,3.3946,0.94851,3.21982,3.46879,0.94851,3.29019,3.4269,0.94851,3.25046,0.0,0.0,0.0
29,White,ARS,DEF,5.6,3.40546,0.92896,3.16355,4.32133,0.92896,4.01435,3.91936,0.92896,3.64094,3.70478,0.92896,3.4416,4.10021,0.92896,3.80895,3.44492,0.92896,3.2002,2.77821,0.92896,2.58085,4.51019,0.92896,4.1898,3.32553,0.92896,3.08929,3.78297,0.92896,3.51423,4.02999,0.92896,3.74371,3.21383,0.92896,2.98553,4.13975,0.92896,3.84567,3.40519,0.92896,3.16329,4.35611,0.92896,4.04667,0.0,0.0,0.0
30,Xhaka,ARS,MID,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Zinchenko,ARS,DEF,5.2,3.74622,0.85278,3.1947,4.65417,0.85278,3.96898,4.14731,0.85278,3.53674,3.84401,0.85278,3.27809,4.27988,0.85278,3.64979,3.55758,0.85278,3.03383,2.82269,0.85278,2.40713,4.73178,0.85278,4.03516,3.42598,0.85278,2.9216,3.93019,0.85278,3.35159,4.20247,0.85278,3.58378,3.30286,0.85278,2.81661,4.32346,0.85278,3.68696,3.51379,0.85278,2.99648,4.56195,0.85278,3.89034,0.0,0.0,0.0
32,Alex Moreno,AVL,DEF,5.1,2.78928,0.91347,2.54792,2.801,0.91347,2.55863,3.21096,0.91347,2.93311,2.65978,0.91347,2.42962,2.76058,0.91347,2.52171,2.60113,0.91347,2.37606,3.13138,0.91347,2.86042,2.11254,0.91347,1.92974,3.09529,0.91347,2.82746,2.25799,0.91347,2.0626,3.12468,0.91347,2.8543,2.60816,0.91347,2.38248,2.51941,0.91347,2.3014,2.51265,0.91347,2.29523,3.08178,0.91347,2.81511,0.0,0.0,0.0
33,Archer,SHU,FWD,4.3,2.56431,0.93908,2.40808,2.71394,0.93908,2.54859,2.77693,0.93908,2.60774,2.55527,0.93908,2.39959,2.75366,0.93908,2.58589,2.66299,0.93908,2.50075,3.19827,0.93908,3.00342,2.51575,0.93908,2.36248,2.68678,0.93908,2.52308,2.65137,0.93908,2.48983,3.03804,0.93908,2.85295,2.81141,0.93908,2.64012,3.23878,0.93908,3.04146,2.96158,0.93908,2.78114,2.81756,0.93908,2.6459,0.0,0.0,0.0
34,Bailey,AVL,MID,5.6,3.06225,0.93972,2.87766,2.96389,0.93972,2.78524,3.24162,0.93972,3.04623,3.10054,0.93972,2.91365,3.07781,0.93972,2.89229,2.98946,0.93972,2.80927,3.17293,0.93972,2.98167,2.72178,0.93972,2.55772,3.15373,0.93972,2.96363,2.83091,0.93972,2.66027,3.34075,0.93972,3.13938,3.09069,0.93972,2.90439,2.96504,0.93972,2.78632,3.02254,0.93972,2.84035,2.95158,0.93972,2.77367,0.0,0.0,0.0
35,Buendia,AVL,MID,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67003,0.01,0.0267,2.40045,0.78409,1.88218,2.82621,0.87913,2.48459,2.61739,0.89785,2.35003,2.51247,0.89785,2.25582,2.56048,0.90611,2.32008,2.50122,0.90611,2.26639,0.0,0.0,0.0
36,Cash,AVL,DEF,4.7,3.01881,0.78266,2.36271,3.0365,0.78266,2.37655,3.5603,0.78266,2.78651,2.88736,0.78266,2.25982,3.04776,0.78266,2.38536,2.85602,0.78266,2.2353,3.49366,0.78266,2.73435,2.26848,0.78266,1.77545,3.45026,0.78266,2.70039,2.44339,0.78266,1.91234,3.4856,0.78266,2.72805,2.86448,0.78266,2.24192,2.75775,0.78266,2.15838,2.74962,0.78266,2.15202,3.43402,0.78266,2.68767,0.0,0.0,0.0
37,Chambers,AVL,DEF,3.8,1.59551,0.00132,0.0021,1.55654,0.00132,0.00205,1.76798,0.00132,0.00233,1.39693,0.00132,0.00184,1.45544,0.00132,0.00192,1.36057,0.00132,0.00179,1.67605,0.00132,0.00221,1.06988,0.00132,0.00141,1.65458,0.00132,0.00218,1.15641,0.00132,0.00152,1.67206,0.00132,0.0022,1.36476,0.00132,0.0018,1.31195,0.00132,0.00173,1.30793,0.00132,0.00172,1.64654,0.00132,0.00217,0.0,0.0,0.0
38,Coutinho,AVL,MID,5.8,2.63649,0.0,2.16068,2.59192,0.0,2.12416,2.72911,0.0,2.23659,2.43827,0.0,1.99824,2.55539,0.0,2.09422,2.44274,0.0,2.0019,2.57464,0.0,2.10999,2.23466,0.0,1.83137,2.6307,0.0,2.15594,2.33809,0.0,1.91614,2.77631,0.0,2.27527,2.48413,0.0,2.03582,2.47372,0.0,2.02729,2.48548,0.0,2.03692,2.45695,0.0,2.01355,0.0,0.0,0.0
39,Davis,AVL,FWD,4.9,2.20328,0.0,0.03258,2.35799,0.0,0.03487,2.52396,0.0,0.03733,1.97207,0.0,0.02917,2.06529,0.0,0.03054,2.09748,0.0,0.03102,2.22231,0.0,0.03287,1.92503,0.0,0.02847,2.04951,0.0,0.03031,2.01794,0.0,0.02984,2.2254,0.0,0.03291,2.05291,0.0,0.03036,2.05484,0.0,0.03039,2.23481,0.0,0.03305,2.08475,0.0,0.03083,0.0,0.0,0.0
40,Dendoncker,AVL,MID,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Diego Carlos,AVL,DEF,4.4,2.54028,0.74702,1.89765,2.54179,0.74702,1.89878,2.86531,0.74702,2.14045,2.36847,0.74702,1.7693,2.46568,0.74702,1.84192,2.33449,0.74702,1.74392,2.77078,0.74702,2.06983,1.93249,0.74702,1.44361,2.74108,0.74702,2.04765,2.05216,0.74702,1.53301,2.76526,0.74702,2.06572,2.34028,0.74702,1.74824,2.26725,0.74702,1.69369,2.26169,0.74702,1.68954,2.72996,0.74702,2.03935,0.0,0.0,0.0
42,Digne,AVL,DEF,4.6,3.04052,0.30917,0.94003,2.97078,0.63828,1.8962,3.34916,0.82273,2.75546,2.68515,0.87499,2.34949,2.78985,0.89413,2.49448,2.62009,0.89413,2.3427,3.18465,0.89413,2.84748,2.09989,0.89413,1.87757,3.14622,0.89413,2.81312,2.25475,0.89413,2.01603,3.17751,0.89413,2.8411,2.62758,0.89413,2.34939,2.53308,0.89413,2.26489,2.52589,0.89413,2.25846,3.13184,0.89413,2.80026,0.0,0.0,0.0
43,Douglas Luiz,AVL,MID,5.6,4.80758,0.93772,4.50816,4.54793,0.93772,4.26468,4.99915,0.93772,4.68779,4.76513,0.93772,4.46835,4.71606,0.93772,4.42234,4.57058,0.93772,4.28592,4.87271,0.93772,4.56923,4.12977,0.93772,3.87256,4.84109,0.93772,4.53958,4.30948,0.93772,4.04108,5.14908,0.93772,4.82839,4.73728,0.93772,4.44224,4.53037,0.93772,4.24821,4.62505,0.93772,4.337,4.5082,0.93772,4.22742,0.0,0.0,0.0
44,Duran,AVL,FWD,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hause,AVL,DEF,3.9,1.58289,3e-05,5e-05,1.54392,3e-05,5e-05,1.75536,3e-05,5e-05,1.38431,3e-05,4e-05,1.44282,3e-05,4e-05,1.34796,3e-05,4e-05,1.66344,3e-05,5e-05,1.05726,3e-05,3e-05,1.64196,3e-05,5e-05,1.1438,3e-05,3e-05,1.65945,3e-05,5e-05,1.35214,3e-05,4e-05,1.29933,3e-05,4e-05,1.29531,3e-05,4e-05,1.63392,3e-05,5e-05,0.0,0.0,0.0
46,Iroegbunam,AVL,MID,4.4,1.07946,0.30198,0.32598,1.06486,0.30198,0.32157,1.13496,0.30198,0.34274,1.11846,0.30198,0.33775,1.13056,0.30198,0.34141,1.11115,0.30198,0.33555,1.15145,0.30198,0.34771,1.05237,0.30198,0.31779,1.14723,0.30198,0.34644,1.07633,0.30198,0.32503,1.1883,0.30198,0.35884,1.13339,0.30198,0.34226,1.10579,0.30198,0.33393,1.11842,0.30198,0.33774,1.10283,0.30198,0.33303,0.0,0.0,0.0
47,Kamara,AVL,MID,5.0,2.59383,0.92202,2.39158,2.5418,0.92202,2.34361,2.77853,0.92202,2.56187,2.70579,0.92202,2.4948,2.70036,0.92202,2.4898,2.63422,0.92202,2.42882,2.77158,0.92202,2.55546,2.43381,0.92202,2.24404,2.75721,0.92202,2.54221,2.51552,0.92202,2.31937,2.89723,0.92202,2.67131,2.71001,0.92202,2.4987,2.61594,0.92202,2.41196,2.65899,0.92202,2.45165,2.60586,0.92202,2.40267,0.0,0.0,0.0
48,Konsa,AVL,DEF,4.6,3.41301,0.94123,3.21244,3.43284,0.94123,3.2311,3.91923,0.94123,3.6889,3.23985,0.94123,3.04945,3.35942,0.94123,3.16199,3.1734,0.94123,2.9869,3.79202,0.94123,3.56917,2.60338,0.94123,2.45038,3.74991,0.94123,3.52954,2.77307,0.94123,2.6101,3.7842,0.94123,3.56181,3.1816,0.94123,2.99462,3.07805,0.94123,2.89716,3.07017,0.94123,2.88974,3.73415,0.94123,3.5147,0.0,0.0,0.0
49,Martinez,AVL,GK,5.2,3.89821,0.94941,3.70101,3.69361,0.94941,3.50676,3.99894,0.94941,3.79665,3.77206,0.94941,3.58124,3.6134,0.94941,3.43061,3.45731,0.94941,3.28241,3.65648,0.94941,3.47151,3.21462,0.94941,3.052,3.59289,0.94941,3.41113,3.65669,0.94941,3.47171,3.76386,0.94941,3.57345,3.83881,0.94941,3.64461,3.81868,0.94941,3.6255,3.56176,0.94941,3.38158,3.75244,0.94941,3.56261,0.0,0.0,0.0
50,McGinn,AVL,MID,5.5,4.59832,0.94123,4.32808,4.34699,0.94123,4.09152,4.59018,0.94123,4.32042,4.29088,0.94123,4.03871,4.14845,0.94123,3.90466,4.02997,0.94123,3.79314,4.27602,0.94123,4.02473,3.67099,0.94123,3.45525,4.25027,0.94123,4.00049,3.81734,0.94123,3.593,4.50109,0.94123,4.23657,4.16573,0.94123,3.92092,3.99723,0.94123,3.76232,4.07433,0.94123,3.83489,3.97917,0.94123,3.74532,0.0,0.0,0.0
51,Mings,AVL,DEF,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Nakamba,LUT,MID,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Olsen,AVL,GK,3.9,3.10312,0.002,0.00621,2.96067,0.002,0.00592,3.17326,0.002,0.00635,3.01528,0.002,0.00603,2.90482,0.002,0.00581,2.79614,0.002,0.00559,2.93481,0.002,0.00587,2.62716,0.002,0.00525,2.89053,0.002,0.00578,2.93496,0.002,0.00587,3.00958,0.002,0.00602,3.06176,0.002,0.00612,3.04775,0.002,0.0061,2.86886,0.002,0.00574,3.00162,0.002,0.006,0.0,0.0,0.0
54,Philogene,AVL,MID,4.5,1.35034,0.0,0.29185,1.34071,0.0,0.28976,1.37977,0.0,0.29821,1.29927,0.0,0.28081,1.33413,0.0,0.28834,1.30007,0.0,0.28098,1.33065,0.0,0.28759,1.2427,0.0,0.26858,1.34988,0.0,0.29175,1.26801,0.0,0.27405,1.38441,0.0,0.29921,1.31163,0.0,0.28348,1.31351,0.0,0.28389,1.312,0.0,0.28356,1.30147,0.0,0.28128,0.0,0.0,0.0
