ID,Name,Team,Pos,Price,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
22,Smith Rowe,ARS,MID,5.3,2.3269,0.53545,1.24594,2.38692,0.53545,1.27808,2.57325,0.53545,1.37784,2.49311,0.53545,1.33494,2.48247,0.53545,1.32924,2.43596,0.53545,1.30433,2.16376,0.53545,1.15859,2.43865,0.53545,1.30578,2.34325,0.53545,1.25469,2.36674,0.53545,1.26727,2.40249,0.53545,1.28641,2.35775,0.53545,1.26246,2.62046,0.53545,1.40313,2.39656,0.53545,1.28324,2.55254,0.53545,1.36676,0.0,0.0,0.0
23,Tavares,NFO,DEF,4.0,1.64274,0.44074,0.72403,1.71901,0.44074,0.75764,1.43137,0.44074,0.63087,1.42435,0.44074,0.62777,1.41873,0.44074,0.6253,1.50642,0.44074,0.66394,1.92954,0.44074,0.85043,1.84454,0.44074,0.81297,1.36775,0.44074,0.60283,1.77324,0.44074,0.78155,1.51813,0.44074,0.66911,1.22805,0.44074,0.54125,1.59182,0.44074,0.70158,1.47322,0.44074,0.64931,1.87319,0.44074,0.8256,0.0,0.0,0.0
24,Tierney,ARS,DEF,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tomiyasu,ARS,DEF,4.5,1.71385,0.59709,1.02333,2.2165,0.81169,1.79911,2.00431,0.86328,1.73028,1.88759,0.88138,1.66368,2.09856,0.88138,1.84962,1.74895,0.88138,1.54149,1.39325,0.88138,1.22798,2.31728,0.88138,2.0424,1.68526,0.88138,1.48535,1.9293,0.88138,1.70045,2.06109,0.88138,1.8166,1.62566,0.88138,1.43282,2.11965,0.88138,1.86821,1.78483,0.88138,1.57311,2.23508,0.88138,1.96995,0.0,0.0,0.0
26,Trossard,ARS,MID,6.5,3.23247,0.93653,3.02729,3.36315,0.93653,3.14968,3.65055,0.93653,3.41883,3.62836,0.93653,3.39806,3.65477,0.93653,3.42278,3.58058,0.93653,3.3533,3.14642,0.93653,2.94671,3.58488,0.93653,3.35733,3.43271,0.93653,3.21482,3.47017,0.93653,3.24991,3.52719,0.93653,3.3033,3.45584,0.93653,3.23648,3.87486,0.93653,3.62891,3.51774,0.93653,3.29445,3.76653,0.93653,3.52745,0.0,0.0,0.0
27,Trusty,SHU,DEF,3.9,2.08708,0.93465,1.95069,2.14107,0.93465,2.00115,2.466,0.93465,2.30485,2.27002,0.93465,2.12167,2.47106,0.93465,2.30958,2.25761,0.93465,2.11007,2.65586,0.93465,2.4823,1.75144,0.93465,1.63698,2.22173,0.93465,2.07653,2.32268,0.93465,2.17089,2.77863,0.93465,2.59704,1.95696,0.93465,1.82907,2.69434,0.93465,2.51826,2.27423,0.93465,2.12561,2.33113,0.93465,2.17879,0.0,0.0,0.0
28,Turner,NFO,GK,3.9,3.22733,0.1,0.32273,3.62787,0.1,0.36279,3.23433,0.1,0.32343,3.26142,0.1,0.32614,3.43901,0.1,0.3439,3.40199,0.1,0.3402,3.55443,0.1,0.35544,3.73575,0.1,0.37357,3.36497,0.1,0.3365,3.31325,0.1,0.33133,3.60258,0.1,0.36026,3.37472,0.1,0.33747,3.38109,0.1,0.33811,3.455,0.1,0.3455,3.41327,0.1,0.34133,0.0,0.0,0.0
29,White,ARS,DEF,5.6,3.39508,0.93158,3.1628,4.3116,0.93158,4.01662,3.90635,0.93158,3.6391,3.68904,0.93158,3.43665,4.08362,0.93158,3.80424,3.42632,0.93158,3.19191,2.75756,0.93158,2.5689,4.49485,0.93158,4.18733,3.30656,0.93158,3.08034,3.7654,0.93158,3.50779,4.01318,0.93158,3.73861,3.19452,0.93158,2.97596,4.12328,0.93158,3.84118,3.49377,0.93158,3.25475,4.3403,0.93158,4.04336,0.0,0.0,0.0
30,Xhaka,ARS,MID,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Zinchenko,ARS,DEF,5.2,3.47535,0.57261,1.99003,4.3932,0.76058,3.34137,3.94258,0.8411,3.31609,3.68907,0.87261,3.21913,4.15254,0.87261,3.62356,3.45391,0.87261,3.01392,2.74309,0.87261,2.39366,4.58963,0.87261,4.00497,3.32662,0.87261,2.90284,3.81431,0.87261,3.32841,4.07767,0.87261,3.55822,3.20753,0.87261,2.79893,4.1947,0.87261,3.66034,3.52561,0.87261,3.07649,4.42537,0.87261,3.86163,0.0,0.0,0.0
32,Alex Moreno,AVL,DEF,5.1,2.78928,0.91347,2.54792,2.801,0.91347,2.55863,3.19163,0.91347,2.91546,2.65978,0.91347,2.42962,2.76058,0.91347,2.52171,2.60113,0.91347,2.37606,3.09684,0.91347,2.82887,2.11254,0.91347,1.92974,3.09529,0.91347,2.82746,2.22939,0.91347,2.03648,3.12468,0.91347,2.8543,2.60816,0.91347,2.38248,2.51941,0.91347,2.3014,2.54389,0.91347,2.32377,3.08178,0.91347,2.81511,0.0,0.0,0.0
33,Archer,SHU,FWD,4.3,2.56431,0.93908,2.40808,2.71394,0.93908,2.54859,2.77693,0.93908,2.60774,2.55527,0.93908,2.39959,2.73508,0.93908,2.56845,2.63063,0.93908,2.47036,3.19827,0.93908,3.00342,2.51575,0.93908,2.36248,2.68678,0.93908,2.52308,2.65137,0.93908,2.48983,3.03804,0.93908,2.85295,2.81141,0.93908,2.64012,3.19043,0.93908,2.99605,2.96158,0.93908,2.78114,2.81756,0.93908,2.6459,0.0,0.0,0.0
34,Bailey,AVL,MID,5.6,3.06225,0.93972,2.87766,2.96389,0.93972,2.78524,3.23431,0.93972,3.03936,3.10054,0.93972,2.91365,3.07781,0.93972,2.89229,2.98946,0.93972,2.80927,3.1704,0.93972,2.9793,2.72178,0.93972,2.55772,3.15373,0.93972,2.96363,2.82739,0.93972,2.65696,3.34075,0.93972,3.13938,3.09069,0.93972,2.90439,2.96504,0.93972,2.78632,3.09137,0.93972,2.90503,2.95158,0.93972,2.77367,0.0,0.0,0.0
35,Buendia,AVL,MID,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67003,0.01,0.0267,2.39752,0.78409,1.87987,2.82621,0.87913,2.48459,2.61739,0.89785,2.35003,2.51247,0.89785,2.25582,2.61796,0.90611,2.37216,2.50122,0.90611,2.26639,0.0,0.0,0.0
36,Cash,AVL,DEF,4.7,3.01881,0.78266,2.36271,3.0365,0.78266,2.37655,3.53706,0.78266,2.76832,2.88736,0.78266,2.25982,3.04776,0.78266,2.38536,2.85602,0.78266,2.2353,3.45212,0.78266,2.70184,2.26848,0.78266,1.77545,3.45026,0.78266,2.70039,2.409,0.78266,1.88543,3.4856,0.78266,2.72805,2.86448,0.78266,2.24192,2.75775,0.78266,2.15838,2.78719,0.78266,2.18143,3.43402,0.78266,2.68767,0.0,0.0,0.0
37,Chambers,AVL,DEF,3.8,1.59551,0.00132,0.0021,1.55654,0.00132,0.00205,1.75648,0.00132,0.00232,1.39693,0.00132,0.00184,1.45544,0.00132,0.00192,1.36057,0.00132,0.00179,1.6555,0.00132,0.00218,1.06988,0.00132,0.00141,1.65458,0.00132,0.00218,1.1394,0.00132,0.0015,1.67206,0.00132,0.0022,1.36476,0.00132,0.0018,1.31195,0.00132,0.00173,1.32652,0.00132,0.00175,1.64654,0.00132,0.00217,0.0,0.0,0.0
38,Coutinho,AVL,MID,5.8,2.63649,0.0,2.16068,2.59192,0.0,2.12416,2.72911,0.0,2.23659,2.43827,0.0,1.99824,2.55539,0.0,2.09422,2.44274,0.0,2.0019,2.57464,0.0,2.10999,2.23466,0.0,1.83137,2.6307,0.0,2.15594,2.33809,0.0,1.91614,2.77631,0.0,2.27527,2.48413,0.0,2.03582,2.47372,0.0,2.02729,2.48548,0.0,2.03692,2.45695,0.0,2.01355,0.0,0.0,0.0
39,Davis,AVL,FWD,4.9,2.20328,0.0,0.03258,2.35799,0.0,0.03487,2.52396,0.0,0.03733,1.97207,0.0,0.02917,2.06529,0.0,0.03054,2.09748,0.0,0.03102,2.22231,0.0,0.03287,1.92503,0.0,0.02847,2.04951,0.0,0.03031,2.01794,0.0,0.02984,2.2254,0.0,0.03291,2.05291,0.0,0.03036,2.05484,0.0,0.03039,2.23481,0.0,0.03305,2.08475,0.0,0.03083,0.0,0.0,0.0
40,Dendoncker,AVL,MID,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Diego Carlos,AVL,DEF,4.4,2.54028,0.74702,1.89765,2.54179,0.74702,1.89878,2.84941,0.74702,2.12857,2.36847,0.74702,1.7693,2.46568,0.74702,1.84192,2.33449,0.74702,1.74392,2.74235,0.74702,2.0486,1.93249,0.74702,1.44361,2.74108,0.74702,2.04765,2.02863,0.74702,1.51544,2.76526,0.74702,2.06572,2.34028,0.74702,1.74824,2.26725,0.74702,1.69369,2.2874,0.74702,1.70874,2.72996,0.74702,2.03935,0.0,0.0,0.0
42,Digne,AVL,DEF,4.6,3.04052,0.30917,0.94003,2.97078,0.63828,1.8962,3.32858,0.82273,2.73853,2.68515,0.87499,2.34949,2.78985,0.89413,2.49448,2.62009,0.89413,2.3427,3.14787,0.89413,2.81459,2.09989,0.89413,1.87757,3.14622,0.89413,2.81312,2.22431,0.89413,1.98881,3.17751,0.89413,2.8411,2.62758,0.89413,2.34939,2.53308,0.89413,2.26489,2.55915,0.89413,2.2882,3.13184,0.89413,2.80026,0.0,0.0,0.0
43,Douglas Luiz,AVL,MID,5.6,4.80758,0.93772,4.50816,4.54793,0.93772,4.26468,4.9871,0.93772,4.6765,4.76513,0.93772,4.46835,4.71606,0.93772,4.42234,4.57058,0.93772,4.28592,4.86854,0.93772,4.56532,4.12977,0.93772,3.87256,4.84109,0.93772,4.53958,4.30368,0.93772,4.03564,5.14908,0.93772,4.82839,4.73728,0.93772,4.44224,4.53037,0.93772,4.24821,4.7384,0.93772,4.44328,4.5082,0.93772,4.22742,0.0,0.0,0.0
44,Duran,AVL,FWD,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Hause,AVL,DEF,3.9,1.58289,3e-05,5e-05,1.54392,3e-05,5e-05,1.74387,3e-05,5e-05,1.38431,3e-05,4e-05,1.44282,3e-05,4e-05,1.34796,3e-05,4e-05,1.64288,3e-05,5e-05,1.05726,3e-05,3e-05,1.64196,3e-05,5e-05,1.12679,3e-05,3e-05,1.65945,3e-05,5e-05,1.35214,3e-05,4e-05,1.29933,3e-05,4e-05,1.3139,3e-05,4e-05,1.63392,3e-05,5e-05,0.0,0.0,0.0
46,Iroegbunam,AVL,MID,4.4,1.07946,0.30198,0.32598,1.06486,0.30198,0.32157,1.13335,0.30198,0.34225,1.11846,0.30198,0.33775,1.13056,0.30198,0.34141,1.11115,0.30198,0.33555,1.15089,0.30198,0.34755,1.05237,0.30198,0.31779,1.14723,0.30198,0.34644,1.07556,0.30198,0.3248,1.1883,0.30198,0.35884,1.13339,0.30198,0.34226,1.10579,0.30198,0.33393,1.13353,0.30198,0.3423,1.10283,0.30198,0.33303,0.0,0.0,0.0
47,Kamara,AVL,MID,5.0,2.59383,0.92202,2.39158,2.5418,0.92202,2.34361,2.77305,0.92202,2.55682,2.70579,0.92202,2.4948,2.70036,0.92202,2.4898,2.63422,0.92202,2.42882,2.76969,0.92202,2.55372,2.43381,0.92202,2.24404,2.75721,0.92202,2.54221,2.51288,0.92202,2.31694,2.89723,0.92202,2.67131,2.71001,0.92202,2.4987,2.61594,0.92202,2.41196,2.71052,0.92202,2.49916,2.60586,0.92202,2.40267,0.0,0.0,0.0
48,Konsa,AVL,DEF,4.6,3.41301,0.94123,3.21244,3.43284,0.94123,3.2311,3.89669,0.94123,3.66769,3.23985,0.94123,3.04945,3.35942,0.94123,3.16199,3.1734,0.94123,2.9869,3.75172,0.94123,3.53124,2.60338,0.94123,2.45038,3.74991,0.94123,3.52954,2.73971,0.94123,2.5787,3.7842,0.94123,3.56181,3.1816,0.94123,2.99462,3.07805,0.94123,2.89716,3.10662,0.94123,2.92405,3.73415,0.94123,3.5147,0.0,0.0,0.0
49,Martinez,AVL,GK,5.2,3.89821,0.94941,3.70101,3.69361,0.94941,3.50676,4.05916,0.94941,3.85381,3.77206,0.94941,3.58124,3.6134,0.94941,3.43061,3.45731,0.94941,3.28241,3.66032,0.94941,3.47515,3.21462,0.94941,3.052,3.59289,0.94941,3.41113,3.63591,0.94941,3.45198,3.76386,0.94941,3.57345,3.83881,0.94941,3.64461,3.81868,0.94941,3.6255,3.59504,0.94941,3.41318,3.75244,0.94941,3.56261,0.0,0.0,0.0
50,McGinn,AVL,MID,5.5,4.59832,0.94123,4.32808,4.34699,0.94123,4.09152,4.58037,0.94123,4.31119,4.29088,0.94123,4.03871,4.14845,0.94123,3.90466,4.02997,0.94123,3.79314,4.27263,0.94123,4.02153,3.67099,0.94123,3.45525,4.25027,0.94123,4.00049,3.81262,0.94123,3.58856,4.50109,0.94123,4.23657,4.16573,0.94123,3.92092,3.99723,0.94123,3.76232,4.16664,0.94123,3.92178,3.97917,0.94123,3.74532,0.0,0.0,0.0
51,Mings,AVL,DEF,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Nakamba,LUT,MID,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Olsen,AVL,GK,3.9,3.10312,0.002,0.00621,2.96067,0.002,0.00592,3.21518,0.002,0.00643,3.01528,0.002,0.00603,2.90482,0.002,0.00581,2.79614,0.002,0.00559,2.93749,0.002,0.00587,2.62716,0.002,0.00525,2.89053,0.002,0.00578,2.92049,0.002,0.00584,3.00958,0.002,0.00602,3.06176,0.002,0.00612,3.04775,0.002,0.0061,2.89204,0.002,0.00578,3.00162,0.002,0.006,0.0,0.0,0.0
54,Philogene,AVL,MID,4.5,1.35034,0.0,0.29185,1.34071,0.0,0.28976,1.37977,0.0,0.29821,1.29927,0.0,0.28081,1.33413,0.0,0.28834,1.30007,0.0,0.28098,1.33065,0.0,0.28759,1.2427,0.0,0.26858,1.34988,0.0,0.29175,1.26801,0.0,0.27405,1.38441,0.0,0.29921,1.31163,0.0,0.28348,1.31351,0.0,0.28389,1.312,0.0,0.28356,1.30147,0.0,0.28128,0.0,0.0,0.0
