ID,Name,Team,Pos,Price,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
11,Marquinhos,ARS,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Martinelli,ARS,MID,7.7,4.5053,0.94107,4.23978,4.39054,0.94107,4.13179,4.41479,0.94107,4.1546,4.47903,0.94107,4.21506,4.85135,0.94107,4.56543,4.66002,0.94107,4.38538,4.62304,0.94107,4.35059,4.54572,0.94107,4.27782,3.99153,0.94107,3.75629,4.52482,0.94107,4.25815,4.39439,0.94107,4.13541,4.44532,0.94107,4.18334,4.44398,0.94107,4.18207,4.41929,0.94107,4.15885,4.93097,0.94107,4.64037,4.459,0.94107,4.19621,4.746,0.94107,4.4663,0,0,0
13,Nketiah,ARS,FWD,5.3,2.62645,0.90854,2.38624,2.70598,0.90854,2.45849,2.83442,0.90854,2.57518,2.72273,0.90854,2.47371,3.0171,0.90854,2.74116,2.87497,0.90854,2.61203,2.70466,0.90854,2.45729,2.64726,0.90854,2.40514,2.5582,0.90854,2.32423,3.32037,0.90854,3.01669,2.7629,0.90854,2.51021,2.78069,0.90854,2.52637,2.83051,0.90854,2.57163,2.84929,0.90854,2.58869,2.73248,0.90854,2.48257,2.66587,0.90854,2.42205,2.90388,0.90854,2.63829,0,0,0
14,Ødegaard,ARS,MID,8.5,5.3668,0.91887,4.93138,5.18529,0.91887,4.7646,5.22002,0.91887,4.79651,5.35133,0.91887,4.91717,5.8541,0.91887,5.37914,5.6142,0.91887,5.15872,5.56784,0.91887,5.11612,5.47088,0.91887,5.02702,4.77602,0.91887,4.38854,5.44468,0.91887,5.00294,5.28114,0.91887,4.85268,5.345,0.91887,4.91135,5.34332,0.91887,4.90981,5.31237,0.91887,4.88137,5.95393,0.91887,5.47088,5.36216,0.91887,4.92712,5.72201,0.91887,5.25777,0,0,0
15,Thomas,ARS,MID,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pepe,ARS,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ramsdale,ARS,GK,4.6,3.60561,0.06048,0.21809,3.36295,0.06048,0.20341,3.28108,0.06048,0.19846,3.5887,0.06048,0.21706,3.36883,0.06048,0.20376,3.52526,0.06048,0.21323,3.38367,0.06048,0.20466,3.61131,0.06048,0.21843,3.05646,0.06048,0.18487,3.50357,0.06048,0.21191,3.61544,0.06048,0.21868,3.50796,0.06048,0.21218,3.64666,0.06048,0.22057,3.5521,0.06048,0.21485,3.54194,0.06048,0.21423,3.66185,0.06048,0.22149,3.75202,0.06048,0.22694,0,0,0
18,Rúnarsson,ARS,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Saka,ARS,MID,9.1,5.89786,0.94124,5.55129,5.68085,0.94124,5.34703,5.64369,0.94124,5.31205,5.71356,0.94124,5.37782,6.25639,0.94124,5.88875,5.98922,0.94124,5.63729,5.93759,0.94124,5.58869,5.82961,0.94124,5.48705,5.05574,0.94124,4.75866,5.80043,0.94124,5.45958,5.6183,0.94124,5.28816,5.68941,0.94124,5.35509,5.68754,0.94124,5.35333,5.65307,0.94124,5.32089,6.36758,0.94124,5.99341,5.70852,0.94124,5.37308,6.10929,0.94124,5.75029,0,0,0
20,Saliba,ARS,DEF,5.6,4.00029,0.94111,3.76473,3.20586,0.94111,3.01709,3.3831,0.94111,3.18388,4.26862,0.94111,4.01726,3.95069,0.94111,3.71806,3.67236,0.94111,3.45611,4.02597,0.94111,3.7889,3.3245,0.94111,3.12873,2.69447,0.94111,2.53581,4.52623,0.94111,4.2597,3.30887,0.94111,3.11403,3.74821,0.94111,3.52749,4.04466,0.94111,3.80649,3.22664,0.94111,3.03664,4.12772,0.94111,3.88465,3.37741,0.94111,3.17853,4.35572,0.94111,4.09923,0,0,0
21,Sambi,LUT,MID,4.9,2.23592,0.91083,2.03654,2.14967,0.91083,1.95799,2.33548,0.91083,2.12723,2.35758,0.91083,2.14736,2.13698,0.91083,1.94643,2.25197,0.91083,2.05116,2.21984,0.91083,2.02189,2.39945,0.91083,2.18549,2.2423,0.91083,2.04236,2.14491,0.91083,1.95365,2.43235,0.91083,2.21546,2.08343,0.91083,1.89765,2.31798,0.91083,2.11128,2.25147,0.91083,2.05071,2.36365,0.91083,2.15288,2.24665,0.91083,2.04631,2.43321,0.91083,2.21624,2.29352,0.91083,2.089
22,"Smith Rowe",ARS,MID,5.3,2.13473,0.61103,1.30439,2.11479,0.61103,1.29221,2.16496,0.61103,1.32286,2.21836,0.61103,1.35549,2.41491,0.61103,1.47559,2.33025,0.61103,1.42386,2.31389,0.61103,1.41386,2.27967,0.61103,1.39295,2.03444,0.61103,1.24311,2.27042,0.61103,1.3873,2.21271,0.61103,1.35204,2.23524,0.61103,1.36581,2.23465,0.61103,1.36545,2.22373,0.61103,1.35877,2.45015,0.61103,1.49712,2.2413,0.61103,1.36951,2.3683,0.61103,1.44711,0,0,0
23,Tavares,NFO,DEF,4,0,0,0,1.5602,0.23891,0.37275,1.59054,0.23891,0.38,1.64772,0.23891,0.39366,1.28991,0.23891,0.30818,1.30061,0.23891,0.31073,1.30841,0.23891,0.3126,1.42097,0.23891,0.33949,1.74542,0.23891,0.41701,1.74375,0.23891,0.41661,1.27082,0.23891,0.30362,1.66759,0.23891,0.39841,1.41423,0.23891,0.33788,1.12039,0.23891,0.26768,1.47457,0.23891,0.35229,1.31555,0.23891,0.3143,1.74699,0.23891,0.41738,0,0,0
24,Tierney,ARS,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Tomiyasu,ARS,DEF,4.5,2.13543,0,0,1.67989,0.15124,0.25407,1.7783,0.53634,0.95377,2.28966,0.87586,2.00542,2.11088,0.88965,1.87794,1.95421,0.88965,1.73856,2.15325,0.88965,1.91564,1.7584,0.88965,1.56436,1.40377,0.88965,1.24887,2.43484,0.88965,2.16615,1.7496,0.88965,1.55654,1.9969,0.88965,1.77654,2.16377,0.88965,1.925,1.70332,0.88965,1.51536,2.21052,0.88965,1.96659,1.78818,0.88965,1.59086,2.33886,0.88965,2.08077,0,0,0
26,Trossard,ARS,MID,6.5,3.95967,0.93362,3.69683,3.797,0.93362,3.54496,3.72242,0.93362,3.47533,3.74167,0.93362,3.4933,3.97628,0.93362,3.71234,3.82244,0.93362,3.56871,3.79271,0.93362,3.54096,3.73054,0.93362,3.48291,3.28494,0.93362,3.06689,3.71373,0.93362,3.46722,3.60886,0.93362,3.36931,3.64981,0.93362,3.40754,3.64873,0.93362,3.40653,3.62888,0.93362,3.388,4.0403,0.93362,3.77211,3.66081,0.93362,3.41781,3.89157,0.93362,3.63326,0,0,0
27,Trusty,SHU,DEF,3.9,2.51746,0.93059,2.34273,2.36673,0.93059,2.20246,2.27629,0.93059,2.11829,2.24994,0.93059,2.09377,2.56912,0.93059,2.3908,2.29407,0.93059,2.13484,2.48695,0.93059,2.31433,2.19869,0.93059,2.04608,2.68935,0.93059,2.50268,1.75377,0.93059,1.63204,2.16932,0.93059,2.01875,2.32128,0.93059,2.16016,2.8149,0.93059,2.61953,1.94579,0.93059,1.81073,2.70816,0.93059,2.52019,2.28916,0.93059,2.13027,2.30298,0.93059,2.14313,0,0,0
28,Turner,NFO,GK,3.9,3.18884,0.94824,3.02379,3.46363,0.94824,3.28436,3.25059,0.94824,3.08234,3.65498,0.94824,3.4658,3.2372,0.94824,3.06964,3.24523,0.94824,3.07726,3.47525,0.94824,3.29537,3.43911,0.94824,3.2611,3.51478,0.94824,3.33286,3.728,0.94824,3.53504,3.41755,0.94824,3.24066,3.32101,0.94824,3.14911,3.66963,0.94824,3.4797,3.386,0.94824,3.21075,3.39309,0.94824,3.21747,3.47149,0.94824,3.2918,3.45089,0.94824,3.27228,0,0,0
29,White,ARS,DEF,5.6,4.08455,0.92562,3.78075,3.2419,0.92562,3.00077,3.40049,0.92562,3.14756,4.30616,0.92562,3.98587,3.97093,0.92562,3.67557,3.68454,0.92562,3.41049,4.04839,0.92562,3.74727,3.32661,0.92562,3.07918,2.67834,0.92562,2.47913,4.56313,0.92562,4.22372,3.31052,0.92562,3.06429,3.76258,0.92562,3.48272,4.06762,0.92562,3.76507,3.22592,0.92562,2.98598,4.15308,0.92562,3.84417,3.38105,0.92562,3.12957,4.38768,0.92562,4.06133,0,0,0
30,Xhaka,ARS,MID,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Zinchenko,ARS,DEF,5.2,4.15692,0.82618,3.43435,3.25945,0.82618,2.69288,3.40984,0.82618,2.81713,4.31938,0.82618,3.56857,3.97289,0.82618,3.28231,3.67477,0.82618,3.03601,4.05352,0.82618,3.34893,3.30218,0.82618,2.72819,2.62738,0.82618,2.17068,4.58933,0.82618,3.7916,3.28544,0.82618,2.71436,3.75601,0.82618,3.10313,4.07353,0.82618,3.36546,3.19737,0.82618,2.6416,4.16249,0.82618,3.43896,3.35885,0.82618,2.77501,4.4067,0.82618,3.64071,0,0,0
32,"Alex Moreno",AVL,DEF,5,3.00377,0.89501,2.6884,2.82932,0.89501,2.53227,3.04811,0.89501,2.72809,2.97351,0.89501,2.66132,3.34973,0.89501,2.99804,2.74131,0.89501,2.4535,2.74966,0.89501,2.46097,2.62468,0.89501,2.34911,3.18489,0.89501,2.85051,2.03372,0.89501,1.8202,3.12845,0.89501,2.79999,2.25316,0.89501,2.01659,3.2121,0.89501,2.87486,2.55171,0.89501,2.28381,2.53886,0.89501,2.2723,2.52483,0.89501,2.25974,3.16081,0.89501,2.82896,0,0,0
33,Archer,SHU,FWD,4.4,2.68117,0.9377,2.51413,2.82264,0.9377,2.6468,2.85442,0.9377,2.6766,2.89436,0.9377,2.71404,2.93794,0.9377,2.75491,2.70894,0.9377,2.54018,2.87868,0.9377,2.69935,2.78338,0.9377,2.60998,3.34527,0.9377,3.13686,2.64117,0.9377,2.47663,2.76591,0.9377,2.5936,2.77117,0.9377,2.59853,3.13415,0.9377,2.9389,2.937,0.9377,2.75403,3.38858,0.9377,3.17748,3.12371,0.9377,2.92911,2.92102,0.9377,2.73905,0,0,0
34,Bailey,AVL,MID,5.7,3.12229,0.9391,2.93214,3.04663,0.9391,2.86108,3.13241,0.9391,2.94163,3.01483,0.9391,2.83121,3.26213,0.9391,3.06345,3.13322,0.9391,2.9424,3.05535,0.9391,2.86927,3.00058,0.9391,2.81783,3.16338,0.9391,2.97072,2.7212,0.9391,2.55547,3.12268,0.9391,2.9325,2.82644,0.9391,2.6543,3.31844,0.9391,3.11633,3.07352,0.9391,2.88633,2.97731,0.9391,2.79599,3.01523,0.9391,2.83159,2.95469,0.9391,2.77474,0,0,0
35,Buendia,AVL,MID,5.7,0,0,0,2.67149,0.01,0.02671,2.70947,0.77878,2.11007,2.5809,0.87392,2.2555,2.76977,0.89269,2.47256,2.6605,0.89269,2.37501,2.59449,0.90099,2.33761,2.54806,0.90099,2.29578,2.68606,0.90099,2.42012,2.31124,0.90099,2.08241,2.65156,0.90099,2.38903,2.40045,0.90099,2.16279,2.8175,0.90099,2.53854,2.60989,0.90099,2.35149,2.52834,0.90099,2.27801,2.56048,0.90099,2.30697,2.50917,0.90099,2.26074,0,0,0
36,Cash,AVL,DEF,4.7,3.38831,0.64912,2.19941,3.1376,0.64912,2.03667,3.39087,0.64912,2.20107,3.31622,0.64912,2.15261,3.80298,0.64912,2.46858,3.08155,0.64912,2.00029,3.09145,0.64912,2.00671,2.94325,0.64912,1.91052,3.60753,0.64912,2.34171,2.24253,0.64912,1.45566,3.5406,0.64912,2.29826,2.50273,0.64912,1.62456,3.63979,0.64912,2.36265,2.85674,0.64912,1.85436,2.8415,0.64912,1.84446,2.82486,0.64912,1.83366,3.57897,0.64912,2.32317,0,0,0
37,Chambers,AVL,DEF,3.9,1.61005,0.00213,0.00343,1.48243,0.00213,0.00316,1.59242,0.00213,0.0034,1.54817,0.00213,0.0033,1.76798,0.00213,0.00377,1.42866,0.00213,0.00305,1.43332,0.00213,0.00306,1.36361,0.00213,0.00291,1.67605,0.00213,0.00358,1.03403,0.00213,0.00221,1.64457,0.00213,0.00351,1.15641,0.00213,0.00247,1.69122,0.00213,0.00361,1.32292,0.00213,0.00282,1.31575,0.00213,0.00281,1.30793,0.00213,0.00279,1.66262,0.00213,0.00355,0,0,0
38,Coutinho,AVL,MID,5.8,2.58939,0,2.12208,2.55815,0,2.09648,2.63649,0,2.16068,2.59192,0,2.12416,2.72911,0,2.23659,2.43827,0,1.99824,2.55539,0,2.09422,2.44274,0,2.0019,2.57464,0,2.10999,2.23466,0,1.83137,2.6307,0,2.15594,2.33809,0,1.91614,2.77631,0,2.27527,2.48413,0,2.03582,2.47372,0,2.02729,2.48548,0,2.03692,2.45695,0,2.01355,0,0,0
39,Davis,AVL,FWD,4.9,2.23491,0,0.03305,2.24149,0,0.03315,2.20328,0,0.03258,2.35799,0,0.03487,2.52396,0,0.03733,1.97207,0,0.02917,2.06529,0,0.03054,2.09748,0,0.03102,2.22231,0,0.03287,1.92503,0,0.02847,2.04951,0,0.03031,2.01794,0,0.02984,2.2254,0,0.03291,2.05291,0,0.03036,2.05484,0,0.03039,2.23481,0,0.03305,2.08475,0,0.03083,0,0,0
40,Dendoncker,AVL,MID,4.9,2.10307,0.49732,1.04589,1.98154,0.49732,0.98545,1.94,0.49732,0.96479,1.90088,0.49732,0.94534,2.00797,0.49732,0.9986,1.94602,0.49732,0.96779,1.90859,0.49732,0.94917,1.88227,0.49732,0.93608,1.96051,0.49732,0.975,1.74799,0.49732,0.86931,1.94095,0.49732,0.96527,1.79857,0.49732,0.89446,2.03504,0.49732,1.01206,1.91732,0.49732,0.95352,1.87108,0.49732,0.93052,1.88931,0.49732,0.93958,1.86021,0.49732,0.92512,0,0,0
41,"Diego Carlos",AVL,DEF,4.4,2.53034,0.85184,2.15544,2.39527,0.85184,2.04039,2.59029,0.85184,2.20652,2.56793,0.85184,2.18746,2.8881,0.85184,2.4602,2.41671,0.85184,2.05865,2.42318,0.85184,2.06416,2.32635,0.85184,1.98168,2.76039,0.85184,2.35141,1.86849,0.85184,1.59165,2.71666,0.85184,2.31416,2.0385,0.85184,1.73648,2.78147,0.85184,2.36937,2.26982,0.85184,1.93352,2.25986,0.85184,1.92504,2.24899,0.85184,1.91578,2.74173,0.85184,2.33552,0,0,0
42,Digne,AVL,DEF,4.6,3.16256,0.74617,2.3598,2.88454,0.85844,2.4762,3.11496,0.85844,2.674,3.03428,0.88504,2.68547,3.43506,0.88504,3.04018,2.81638,0.89927,2.5327,2.82487,0.89927,2.54033,2.69778,0.89927,2.42604,3.26744,0.89927,2.93833,2.09685,0.89927,1.88564,3.21005,0.89927,2.88672,2.31999,0.89927,2.08631,3.29511,0.89927,2.96321,2.62358,0.89927,2.35932,2.61052,0.89927,2.34757,2.59625,0.89927,2.33474,3.24296,0.89927,2.91631,0,0,0
43,"Douglas Luiz",AVL,MID,5.6,5.11682,0.93557,4.78712,4.90012,0.93557,4.58438,4.9685,0.93557,4.64835,4.67537,0.93557,4.37411,5.08331,0.93557,4.75577,4.86805,0.93557,4.55438,4.73801,0.93557,4.43271,4.64655,0.93557,4.34715,4.91841,0.93557,4.60149,4.18003,0.93557,3.91069,4.85044,0.93557,4.5379,4.35577,0.93557,4.07511,5.17734,0.93557,4.84374,4.76835,0.93557,4.4611,4.6077,0.93557,4.31081,4.67101,0.93557,4.37004,4.56993,0.93557,4.27547,0,0,0
44,Duran,AVL,FWD,5,1.60175,0.85386,1.36767,1.57322,0.85386,1.3433,1.57422,0.85386,1.34416,1.60169,0.85386,1.36762,1.87238,0.85386,1.59875,1.59639,0.85386,1.36308,1.59146,0.85386,1.35888,1.62848,0.85386,1.39049,1.60645,0.85386,1.37168,1.44803,0.85386,1.23641,1.53063,0.85386,1.30694,1.40754,0.85386,1.20184,1.54633,0.85386,1.32034,1.49826,0.85386,1.2793,1.56349,0.85386,1.33499,1.58212,0.85386,1.3509,1.47901,0.85386,1.26286,0,0,0
45,Hause,AVL,DEF,3.9,1.59744,4.0E-5,7.0E-5,1.46981,4.0E-5,6.0E-5,1.5798,4.0E-5,7.0E-5,1.53556,4.0E-5,7.0E-5,1.75536,4.0E-5,8.0E-5,1.41605,4.0E-5,6.0E-5,1.4207,4.0E-5,6.0E-5,1.351,4.0E-5,6.0E-5,1.66344,4.0E-5,7.0E-5,1.02142,4.0E-5,4.0E-5,1.63196,4.0E-5,7.0E-5,1.1438,4.0E-5,5.0E-5,1.67861,4.0E-5,7.0E-5,1.31031,4.0E-5,6.0E-5,1.30314,4.0E-5,6.0E-5,1.29531,4.0E-5,6.0E-5,1.65001,4.0E-5,7.0E-5,0,0,0
46,Iroegbunam,AVL,MID,4.4,1.14128,0.13744,0.15686,1.13376,0.13744,0.15583,1.165,0.13744,0.16012,1.12968,0.13744,0.15527,1.18157,0.13744,0.1624,1.15155,0.13744,0.15827,1.13341,0.13744,0.15578,1.12066,0.13744,0.15403,1.15857,0.13744,0.15924,1.05559,0.13744,0.14508,1.14909,0.13744,0.15794,1.0801,0.13744,0.14845,1.19469,0.13744,0.1642,1.13765,0.13744,0.15636,1.11524,0.13744,0.15328,1.12407,0.13744,0.1545,1.10997,0.13744,0.15256,0,0,0
47,Kamara,AVL,MID,5,2.83024,0.91025,2.57622,2.74895,0.91025,2.50223,2.79838,0.91025,2.54722,2.6935,0.91025,2.45175,2.88274,0.91025,2.62401,2.7815,0.91025,2.53185,2.72033,0.91025,2.47618,2.67732,0.91025,2.43702,2.80518,0.91025,2.55341,2.45789,0.91025,2.23729,2.77321,0.91025,2.52431,2.54055,0.91025,2.31253,2.92697,0.91025,2.66427,2.7346,0.91025,2.48917,2.65904,0.91025,2.42039,2.68882,0.91025,2.44749,2.64128,0.91025,2.40422,0,0,0
48,Konsa,AVL,DEF,4.6,3.51289,0.94123,3.30645,3.32761,0.94123,3.13205,3.60722,0.94123,3.39523,3.56716,0.94123,3.35752,4.02828,0.94123,3.79154,3.35281,0.94123,3.15577,3.36207,0.94123,3.16449,3.22332,0.94123,3.03389,3.84528,0.94123,3.6193,2.56723,0.94123,2.41636,3.78261,0.94123,3.56032,2.81086,0.94123,2.64567,3.87548,0.94123,3.64773,3.14231,0.94123,2.95765,3.12805,0.94123,2.94422,3.11247,0.94123,2.92955,3.81854,0.94123,3.59413,0,0,0
49,Martinez,AVL,GK,5.2,3.57187,0.94941,3.39117,3.75118,0.94941,3.56141,3.93904,0.94941,3.73977,3.66957,0.94941,3.48394,4.0052,0.94941,3.80258,3.80907,0.94941,3.61638,3.6107,0.94941,3.42804,3.47129,0.94941,3.29568,3.66047,0.94941,3.47529,3.21381,0.94941,3.05123,3.58888,0.94941,3.40733,3.66068,0.94941,3.4755,3.7703,0.94941,3.57957,3.84981,0.94941,3.65506,3.85455,0.94941,3.65955,3.56512,0.94941,3.38477,3.81059,0.94941,3.61782,0,0,0
50,McGinn,AVL,MID,5.6,4.0486,0.94123,3.81067,3.9365,0.94123,3.70516,4.01324,0.94123,3.77739,3.86348,0.94123,3.63643,4.15061,0.94123,3.90668,3.9924,0.94123,3.75777,3.89682,0.94123,3.66781,3.82961,0.94123,3.60455,4.02941,0.94123,3.79261,3.48673,0.94123,3.28182,3.97946,0.94123,3.74559,3.61589,0.94123,3.4034,4.21971,0.94123,3.97173,3.91912,0.94123,3.68881,3.80105,0.94123,3.57767,3.84759,0.94123,3.62147,3.77329,0.94123,3.55154,0,0,0
51,Mings,AVL,DEF,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
